x0,x1,x2,y,x3,x4,x5,x6,x7
A0,A4,A0,75,1,0.08,1,0,243.71428571428572
A2,A13,A1,55,5,0.59,1,3,415.85714285714283
A0,A72,A0,75,3,0.21,1,94,412.2857142857143
A2,A33,A0,249,4,0.62,1,281,405.42857142857144
A0,A5,A0,150,1,,3,359,
A1,A52,A1,150,2,0.17,1,0,414.7142857142857
,A36,A1,96,3,0.56,1,365,424.42857142857144
A2,A17,A0,500,2,1.55,1,5,426.7142857142857
A0,A22,A0,123,30,0.23,21,319,422.14285714285717
A2,A3,A1,65,1,4.03,1,361,431.14285714285717
A2,A8,A1,69,1,4.93,2,98,428.85714285714283
A0,A42,A1,130,1,0.45,1,299,427.7142857142857
A2,A45,A0,120,5,0.08,1,0,379.14285714285717
A4,A90,A0,90,3,2.68,1,247,428.7142857142857
A3,A91,A1,35,1,3.13,1,62,431.42857142857144
A0,A0,A0,160,3,0.35,2,0,374.0
A0,A21,A0,225,2,0.09,1,34,386.2857142857143
A2,A13,A0,165,5,0.54,2,70,425.57142857142856
A0,A12,A1,45,4,1.29,1,84,430.0
A2,A3,A1,80,7,1.56,1,278,428.57142857142856
A2,A3,A1,80,4,0.05,1,0,248.42857142857142
A0,A0,A1,64,21,,1,5,
A1,A9,A1,50,7,1.84,1,128,419.85714285714283
A2,A45,A1,129,3,3.08,3,15,429.7142857142857
A0,A5,A0,85,5,3.04,2,202,431.14285714285717
A0,A0,A1,40,7,,1,331,
A0,A0,A0,60,1,5.66,1,234,431.85714285714283
A0,A0,A1,90,6,0.03,1,0,178.85714285714286
A0,A6,A1,45,2,,1,0,
A0,A81,A1,85,1,,2,0,
A0,A0,A1,98,3,1.01,1,268,426.0
A3,A82,A0,159,3,0.17,2,112,426.85714285714283
A1,A92,A0,255,1,2.87,5,114,429.0
A0,A46,A1,60,6,1.0,3,90,429.14285714285717
,A2,A0,91,4,,2,67,
A2,A13,A0,99,8,,1,0,
A2,A10,A0,150,5,0.05,1,0,342.0
A0,A63,A1,100,1,3.0,1,179,431.57142857142856
A2,A45,A0,220,2,0.23,1,0,399.85714285714283
A0,A26,A0,115,2,0.15,1,0,404.2857142857143
A0,A0,A1,70,5,0.02,1,0,215.57142857142858
A1,A93,A1,250,1,0.2,4,365,393.0
A2,A13,A0,250,1,,1,0,
A2,A17,A1,999,1,0.59,5,334,425.85714285714283
A0,A29,A1,36,2,0.51,1,0,411.0
,A94,A0,151,2,4.21,1,309,431.85714285714283
A0,A78,A0,70,2,0.06,1,0,361.14285714285717
A1,A75,A2,51,1,1.84,4,141,424.57142857142856
A2,A7,A0,200,3,0.26,2,0,382.0
A2,A74,A1,110,30,,1,145,
A2,A35,A1,47,1,0.31,1,0,405.0
A2,A10,A0,145,30,,96,0,
A0,A29,A0,58,4,0.45,1,0,383.14285714285717
A0,A5,A1,40,2,1.82,10,350,428.2857142857143
A2,A17,A0,305,30,,232,1,
A0,A0,A0,200,2,3.93,2,330,430.85714285714283
A0,A12,A1,55,1,0.04,1,0,325.7142857142857
A2,A36,A1,125,1,2.7,2,117,431.2857142857143
A0,A0,A0,249,2,1.27,1,38,429.85714285714283
A0,A5,A1,31,2,0.02,1,0,248.28571428571428
A2,A3,A1,85,1,5.12,2,238,431.57142857142856
A2,A36,A1,60,1,3.67,1,45,430.42857142857144
A2,A80,A0,276,30,,232,284,
A2,A48,A0,118,30,,8,326,
A0,A0,A0,299,3,2.0,1,178,431.2857142857143
A2,A11,A0,270,3,,1,152,
A0,A5,A0,83,4,2.64,1,201,428.85714285714283
A2,A10,A0,239,30,,121,351,
A0,A62,A0,600,5,0.47,1,64,405.42857142857144
A2,A23,A0,199,30,2.21,2,215,428.14285714285717
A0,A49,A1,25,1,1.17,4,319,428.14285714285717
A1,A28,A1,90,1,4.55,1,299,429.57142857142856
A1,A73,A0,200,1,0.04,1,0,244.14285714285714
A0,A22,A0,900,1,,1,365,
A2,A13,A1,50,5,,1,0,
A1,A61,A1,125,1,0.28,4,301,425.85714285714283
A2,A7,A0,145,6,0.27,1,0,374.85714285714283
A0,A0,A0,250,4,1.58,1,41,431.7142857142857
A0,A95,A1,139,1,,1,0,
A2,A74,A0,250,1,0.02,1,0,230.57142857142858
A2,A17,A0,325,1,,1,0,
A1,A59,A1,38,1,1.46,3,24,430.85714285714283
A0,A5,A1,70,2,2.95,3,293,429.85714285714283
A2,A32,A1,119,3,1.0,2,10,431.2857142857143
A2,A23,A0,125,2,0.32,1,0,391.0
A0,A5,A1,47,3,0.2,2,0,333.0
A2,A45,A1,99,1,0.05,3,0,269.0
A0,A0,A1,60,5,,1,15,
A0,A0,A0,270,14,,1,0,
A2,A13,A0,210,30,0.6,1,36,405.42857142857144
A2,A3,A0,85,7,0.08,1,0,336.0
A2,A2,A1,60,3,2.42,1,93,429.57142857142856
A0,A96,A0,312,30,,232,349,
A2,A3,A0,249,7,2.4,2,249,429.85714285714283
A0,A5,A1,61,2,0.59,1,5,429.7142857142857
A2,A17,A0,170,3,1.71,3,169,429.2857142857143
A2,A45,A0,249,30,0.04,121,273,326.42857142857144
A2,A13,A0,175,7,0.09,1,0,346.7142857142857
A0,A81,A1,139,1,2.85,17,337,431.85714285714283
A2,A36,A1,90,1,,1,0,
A1,A97,A0,180,2,,2,281,
A2,A23,A0,369,30,0.06,121,345,355.85714285714283
A0,A0,A1,65,4,2.03,1,115,430.2857142857143
A1,A98,A0,99,1,4.86,1,15,431.85714285714283
A0,A63,A1,60,2,,1,0,
A2,A17,A0,240,1,,1,0,
A0,A6,A1,62,2,0.36,1,0,390.85714285714283
,A72,A1,80,1,0.87,1,2,430.0
A0,A0,A0,90,3,0.36,3,77,431.0
A1,A20,A1,98,2,0.03,1,88,282.85714285714283
A2,A74,A0,137,4,0.16,2,0,405.14285714285717
A2,A85,A0,130,2,,1,0,
A2,A3,A1,86,2,0.69,2,87,392.57142857142856
A0,A12,A0,65,4,0.03,1,0,268.85714285714283
A2,A13,A0,158,100,0.04,1,290,383.2857142857143
A2,A2,A1,50,1,1.0,3,90,426.7142857142857
